match_id,season,city,date,team1_id,team2_id,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,player_of_match_id,venue,venue_id,umpire1,umpire2
2015_39,2015,Mumbai,05-05-2015,DD,MI,DD,bat,normal,0,MI,0,5,Harbhajan Singh,131,"Wankhede Stadium, Mumbai, Maharashtra",1,HDPK Dharmasena,CB Gaffaney
2015_40,2015,Bangalore,06-05-2015,RCB,KXI,KXI,field,normal,0,RCB,138,0,Chris Gayle,79,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,RK Illingworth,VA Kulkarni
2015_41,2015,Mumbai,07-05-2015,SRH,RR,RR,field,normal,0,SRH,7,0,Eoin Morgan,318,Brabourne Stadium,19,JD Cloete,C Shamshuddin
2015_42,2015,Chennai,08-05-2015,CSK,MI,CSK,bat,normal,0,MI,0,6,Hardik Pandya,553,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,CB Gaffaney,CK Nandan
2015_43,2015,Kolkata,09-05-2015,KXI,KKR,KXI,bat,normal,0,KKR,0,1,Andre Russell,430,"Eden Garden Stadium, Kolkata, West Bengal",3,AK Chaudhary,HDPK Dharmasena
2015_44,2015,Raipur,09-05-2015,SRH,DD,SRH,bat,normal,0,SRH,6,0,Moises Henriques,212,Shaheed Veer Narayan Singh International Stadium,27,VA Kulkarni,S Ravi
2015_45,2015,Mumbai,10-05-2015,RCB,MI,RCB,bat,normal,0,RCB,39,0,AB De Villiers,47,"Wankhede Stadium, Mumbai, Maharashtra",1,JD Cloete,C Shamshuddin
2015_46,2015,Chennai,10-05-2015,CSK,RR,CSK,bat,normal,0,CSK,12,0,Ravindra Jadeja,177,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,M Erasmus,CK Nandan
2015_47,2015,Hyderabad,11-05-2015,SRH,KXI,SRH,bat,normal,0,SRH,5,0,David Warner,207,"Rajiv Gandhi International Stadium, Hyderabad",4,AK Chaudhary,HDPK Dharmasena
2015_48,2015,Raipur,12-05-2015,CSK,DD,CSK,bat,normal,0,DD,0,6,Zaheer Khan,159,Shaheed Veer Narayan Singh International Stadium,27,RK Illingworth,VA Kulkarni
2015_49,2015,Chandigarh,13-05-2015,KXI,RCB,RCB,field,normal,0,KXI,22,0,Axar Patel,485,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,JD Cloete,C Shamshuddin
2015_50,2015,Mumbai,14-05-2015,MI,KKR,KKR,field,normal,0,MI,5,0,Hardik Pandya,553,"Wankhede Stadium, Mumbai, Maharashtra",1,RK Illingworth,VA Kulkarni
2015_51,2015,Hyderabad,15-05-2015,SRH,RCB,SRH,bat,normal,1,RCB,0,6,Virat Kohli,149,"Rajiv Gandhi International Stadium, Hyderabad",4,AK Chaudhary,HDPK Dharmasena
